Артикул;Наименование;Остаток;Цена;МРЦ;Бренд;Серия;
AG30170B-S100B;Душевой уголок ABBER Schwarzer Diamant (AG30170B-S100B);Нет в наличии;29250;40950;Abber;Schwarzer Diamant;
S80B;Боковая стенка ABBER Schwarzer Diamant (S80B);Нет в наличии;9000;12600;Abber;Schwarzer Diamant;
S90B;Боковая стенка ABBER Schwarzer Diamant (S90B);5;9375;13125;Abber;Schwarzer Diamant;
S100B;Боковая стенка ABBER Schwarzer Diamant (S100B);5;10125;14175;Abber;Schwarzer Diamant;
AG60100B;Душевая перегородка ABBER Immer Offen (AG60100B);Нет в наличии;14250;19950;Abber;Immer Offen;
AG60120B;Душевая перегородка ABBER Immer Offen (AG60120B);Нет в наличии;16125;22575;Abber;Immer Offen;
AG61100B;Душевая перегородка ABBER Immer Offen (AG61100B);Нет в наличии;12000;16800;Abber;Immer Offen;
AG61120B;Душевая перегородка ABBER Immer Offen (AG61120B);Нет в наличии;12750;17850;Abber;Immer Offen;
AG62100B;Душевая перегородка ABBER Immer Offen (AG62100B);Нет в наличии;15000;21000;Abber;Immer Offen;
AG62120B;Душевая перегородка ABBER Immer Offen (AG62120B);5;16500;23100;Abber;Immer Offen;
AG63100B;Душевая перегородка ABBER Immer Offen (AG63100B);5;15750;22050;Abber;Immer Offen;
AG63120B;Душевая перегородка ABBER Immer Offen (AG63120B);5;17250;24150;Abber;Immer Offen;
AG30100B;Душевая дверь ABBER Schwarzer Diamant (AG30100B);Нет в наличии;15375;21525;Abber;Schwarzer Diamant;
AG30110B;Душевая дверь ABBER Schwarzer Diamant (AG30110B);Нет в наличии;15750;22050;Abber;Schwarzer Diamant;
AG30120B;Душевая дверь ABBER Schwarzer Diamant (AG30120B);Нет в наличии;16500;23100;Abber;Schwarzer Diamant;
AG30140B;Душевая дверь ABBER Schwarzer Diamant (AG30140B);Нет в наличии;17625;24675;Abber;Schwarzer Diamant;
AG30150B;Душевая дверь ABBER Schwarzer Diamant (AG30150B);Нет в наличии;18000;25200;Abber;Schwarzer Diamant;
AG30170B;Душевая дверь ABBER Schwarzer Diamant (AG30170B);Нет в наличии;19125;26775;Abber;Schwarzer Diamant;
AG33150;Душевая дверь ABBER Schwarzer Diamant (AG33150);5;19125;26775;Abber;Schwarzer Diamant;
AG33170;Душевая дверь ABBER Schwarzer Diamant (AG33170);Нет в наличии;20250;28350;Abber;Schwarzer Diamant;
AG33180;Душевая дверь ABBER Schwarzer Diamant (AG33180);5;21000;29400;Abber;Schwarzer Diamant;
AG70080B;Шторка на ванну ABBER Immer Offen (AG70080B);Нет в наличии;9000;12600;Abber;Immer Offen;
AG51120;Шторка на ванну ABBER Ewiges Wasser (AG51120);Нет в наличии;10125;14175;Abber;Ewiges Wasser;
AB9201-1.6;Акриловая ванна Abber (AB9201-1.6);Нет в наличии;59067;82653;Abber;;
AB9203-1.4;Акриловая ванна Abber (AB9203-1.4);Нет в наличии;56953;79734;Abber;;
AB9203-1.6;Акриловая ванна Abber (AB9203-1.6);Нет в наличии;59786;83679;Abber;;
AB9205;Акриловая ванна Abber (AB9205);Нет в наличии;68706;96190;Abber;;
AB9206;Акриловая ванна Abber (AB9206);Нет в наличии;65000;91000;Abber;;
AB9207;Акриловая ванна Abber (AB9207);Нет в наличии;61528;86139;Abber;;
AB9209;Акриловая ванна Abber (AB9209);Нет в наличии;61015;85422;Abber;;
AB9211;Акриловая ванна Abber (AB9211);Нет в наличии;62758;87883;Abber;;
