Артикул,Название товара,Остаток,Цена продажи,Закупочная цена,Бренд,Серия
DA2123101,Смеситель для душа D&K Bayern Potsdam (DA2123101),10,8540.0,5890.0,D&K,Bayern.Potsdam
DA1432496,Смеситель для кухни D&K (DA1432496),0,7990.0,,D&K,
DA1432495,Смеситель для кухни D&K Berlin.Technische (DA1432495),10,7990.0,5525.0,D&K,Berlin.Technische
DA1392141,Смеситель для раковины с выдвижной лейкой Rhein.Marx D&K (DA1392141),10,8030.0,5536.0,D&K,Rhein.Marx
DA1432501,Смеситель для кухни с выдвижной лейкой Berlin.Freie D&K (DA1432501),0,8410.0,5799.0,D&K,Berlin.Freie
DA1462501,Смеситель для кухни с выдвижной лейкой D&K Rhein.Schiller (DA1462501),0,8030.0,5536.0,D&K,Rhein.Schiller
DA1032541,Смеситель для кухни D&K Venice.Baciano (DA1032541) с выдвижной лейкой,0,8400.0,5795.0,D&K,Venice.Baciano
DA1382501,Смеситель для кухни D&K Hessen.Grimm с выдвижной лейкой (DA1382501),10,7520.0,5188.0,D&K,Hessen.Grimm
DA1482101,Смеситель для раковины D&K Bayern.Alfeld (DA1482101),10,8420.0,5808.0,D&K,Bayern.Alfeld
DA1482401,Смеситель для кухни D&K Bayern.Alfeld  (DA1482401),10,9690.0,6686.0,D&K,Bayern.Alfeld
DA1484801,Смеситель для ванны и душа D&K Bayern.Alfeld (DA1484801),10,9330.0,6435.0,D&K,Bayern.Alfeld
DA1395801,Смеситель для душа встраиваемый D&K Rhein Marx (DA1395801),10,9710.0,6696.0,D&K,Rhein.Marx
DA1414741B09,Душевая система D&K Hessen.Torhall (DA1414741B09),0,9700.0,6689.0,D&K,Hessen.Torhall
DC1005507,Стойка D&K (DC1005507),0,8100.0,5584.0,D&K,
DC1005508,Стойка с тропическим душем D&K (DC1005508),0,7900.0,5448.0,D&K,
DR21070,Смеситель для душа DECOROOM DR21 (DR21070),10,7579.0,5457.0,DECOROOM,DR21
DR21071,Смеситель для ванны с душем DECOROOM DR21 (DR21071),10,7660.0,5515.0,DECOROOM,DR21
FX-78515,Полка для полотенец FIXSEN Bogema (FX-78515),0,9120.0,5700.0,FIXSEN,BOGEMA
FX-83815A,Полка для полотенец FIXSEN Retro с крючками (FX-83815A),0,8000.0,4950.0,FIXSEN,RETRO
FX-83815,Полка для полотенец FIXSEN Retro (FX-83815),0,7400.0,4600.0,FIXSEN,RETRO
G0001,Ступенька для ванны Gemy для высоких ванн (G0001),0,9918.0,7084.0,Gemy,
OLDBR00i01,Смеситель для раковины IDDIS Oldie (OLDBR00i01),10,7940.0,5677.0,IDDIS,Oldie
RUNSB00i67,Смеситель для ванны с душем IDDIS Runo (RUNSB00i67),0,8040.0,5749.0,IDDIS,Runo
SAMSB00i01,Смеситель для раковины IDDIS Sam (SAMSB00i01),10,7490.0,5355.0,IDDIS,Sam
SAMSB00i05,Смеситель для кухонной мойки IDDIS Sam (SAMSB00i05),10,7990.0,5713.0,IDDIS,Sam
SENSB00i02WA,Смеситель для ванны IDDIS Sena (SENSB00i02WA),0,7990.0,5713.0,IDDIS,Sena
SENSB00i08,Смеситель для раковины с гигеническим душем IDDIS Sena (SENSB00i08),0,9890.0,7071.0,IDDIS,Sena
SLISB00i01,Смеситель для раковины IDDIS Slide (SLISB00i01),10,7990.0,5713.0,IDDIS,Slide
TORSB00i02WA,Смеситель для ванны IDDIS Torr (TORSB00i02WA),0,8990.0,6428.0,IDDIS,Torr
TORSB10i07,Смеситель для ванны IDDIS Torr (TORSB10i07),10,8990.0,6428.0,IDDIS,Torr
TORSBL2i10WA,Смеситель для ванны IDDIS Torr (TORSBL2i10WA),0,9990.0,7143.0,IDDIS,Torr
VIBSBL2i10WA,Смеситель для ванны IDDIS Vibe (VIBSBL2i10WA),10,8540.0,6127.0,IDDIS,Vibe
SLISB00i05,Смеситель для кухонной мойки IDDIS Slide (SLISB00i05),10,9192.0,8215.0,IDDIS,Slide
BRISB00i01,Смеситель для раковины IDDIS Brick (BRISB00i01),0,7073.0,5057.0,IDDIS,Brick
COPSBL2i10WA,Смеситель для ванны IDDIS Copter (COPSBL2i10WA),10,9340.0,6678.0,IDDIS,Copter
CUBSB00i02WA,Смеситель для ванны IDDIS Cuba (CUBSB00i02WA),0,7990.0,5713.0,IDDIS,Cuba
